material,label,trial,timestamp,reading
plastic,0,3,1743370082.7172658,"[2.8800048828125, -2.789999008178711, -0.14519042968754547, -0.7799926757812727, 0.75, 0.38723144531240905, 1.3800048828125, -4.740014648437523, 4.017187500000091, 2.4299987792968807, 3.5400009155273438, -0.822729492187591, -2.7600009918212898, 4.710003662109386, 6.5824462890625455]"
plastic,0,4,1743370086.836598,"[-0.9899932861328011, -2.0100009918212898, 0.48403320312490905, -0.6300048828125, 1.9200195312499773, -2.4684570312499545, -5.4000122070312955, -1.7400024414062614, 1.500390624999909, -1.8600067138671932, -1.919996643066412, 2.516821289062591, -2.1000004768371596, 5.94000244140625, 2.80712890625]"
plastic,0,4,1743370086.9419289,"[3.809994506835949, 0.5400001525878899, -4.597998046875091, -1.530029296875, -1.8299804687500227, 0.4355957031250455, -0.2999755859375455, -9.240002441406261, 6.824365234374909, -0.6599945068359432, -3.7199996948242244, 9.534765625000091, 3.4499997138977037, 5.94000244140625, 11.03515625]"
plastic,0,4,1743370087.042309,"[-2.339999389648426, 7.8900005340576165, 2.441406240905053e-05, 3.57000732421875, 2.6700195312499773, 1.4036132812500455, 0.2999999999999545, -3.3899963378906364, 1.500390624999909, 6.090005493164057, 2.729997253417963, 3.484838867187591, -1.79999933242798, -7.410003662109375, 11.03515625]"
plastic,0,4,1743370087.1476321,"[-2.489993286132801, 2.04000015258789, -9.921972656250091, -1.3800048828125, 1.7699951171874773, 8.421557617187545, -2.1000244140625455, -2.1900146484375114, 3.436425781249909, 5.040002441406244, 0.6299987792968693, 1.306860351562591, 6.30000009536743, 2.94000244140625, 6.921142578125]"
plastic,0,4,1743370087.249886,"[2.010006713867199, 5.189999771118163, 7.985986328124909, -2.42999267578125, -4.680017089843773, 3.3396484375000455, -6.2999755859375455, 1.1100036621093636, 5.372338867187409, -2.3100036621093807, -0.41999664306641193, 1.790747070312591, 3.749999904632567, 2.339996337890625, 7.4051513671875]"
plastic,0,4,1743370087.3551419,"[-3.089999389648426, -0.06000022888183665, -6.775976562500091, -2.42999267578125, 3.2699951171874773, 0.6776611328125455, -0.7499877929687955, -2.1900146484375114, -0.19357910156259095, 1.4399963378906193, -4.770002746582037, 2.032812500000091, 3.4499997138977037, -2.910003662109375, 4.501220703125]"
plastic,0,4,1743370087.460379,"[-3.839999389648426, 0.8399993896484368, -0.24204101562509095, -1.83001708984375, -1.9800048828125227, 1.1615478515625455, -1.0499755859375455, -2.0399902343750114, 8.276391601562409, 3.239999389648432, -3.8700012207031307, 5.662817382812591, -1.3500004768371596, 3.9900054931640625, 3.0491943359375]"
plastic,0,4,1743370087.560652,"[-2.190005493164051, -0.5100009918212898, 7.260034179687409, -3.92999267578125, 0.8699707031249773, 0.9196044921875455, 3.5999877929687045, 0.9600097656249886, 7.550439453124909, -3.510000610351568, -2.3700012207031307, 3.484838867187591, 0.2999991416931138, -0.80999755859375, 12.2452392578125]"
plastic,0,4,1743370087.665469,"[8.010006713867199, 1.8900005340576165, -5.082006835937591, -0.6300048828125, -2.2799926757812727, 5.0336181640625455, 3.5999877929687045, -1.4400146484375114, -2.855566406250091, 2.639993286132807, -0.5699981689453182, -0.629174804687409, 2.400000476837157, 2.0399932861328125, 5.711181640625]"
