material,motion,trial,timestamp,reading
metal,rub,3,1742113821.691348,"[np.float64(116.10000610351562), np.float64(-30.150001525878906), np.float64(-1610.510009765625), np.float64(461.1000061035156), np.float64(-822.1500244140625), np.float64(-1537.1839599609375), np.float64(-817.3500366210938), np.float64(488.1000061035156), np.float64(-1563.56201171875), np.float64(-67.05000305175781), np.float64(-16.5), np.float64(-1444.0140380859375), np.float64(27.450000762939453), np.float64(142.65000915527344), np.float64(-1677.5439453125)]"
metal,rub,3,1742113821.796402,"[np.float64(123.60000610351562), np.float64(-33.900001525878906), np.float64(-1616.5599365234375), np.float64(459.9000244140625), np.float64(-831.1500244140625), np.float64(-1543.718017578125), np.float64(-816.6000366210938), np.float64(493.6500244140625), np.float64(-1551.219970703125), np.float64(-65.55000305175781), np.float64(-18.600000381469727), np.float64(-1453.4520263671875), np.float64(30.30000114440918), np.float64(139.8000030517578), np.float64(-1683.1099853515625)]"
metal,rub,3,1742113821.89837,"[np.float64(119.85000610351562), np.float64(-35.10000228881836), np.float64(-1612.446044921875), np.float64(461.4000244140625), np.float64(-821.550048828125), np.float64(-1531.8599853515625), np.float64(-816.9000244140625), np.float64(487.6500244140625), np.float64(-1559.68994140625), np.float64(-70.6500015258789), np.float64(-19.05000114440918), np.float64(-1447.1600341796875), np.float64(27.30000114440918), np.float64(142.95001220703125), np.float64(-1676.092041015625)]"
metal,rub,3,1742113822.0027819,"[np.float64(120.1500015258789), np.float64(-33.45000076293945), np.float64(-1616.802001953125), np.float64(462.0000305175781), np.float64(-827.550048828125), np.float64(-1534.0379638671875), np.float64(-814.5000610351562), np.float64(486.6000061035156), np.float64(-1556.5439453125), np.float64(-65.70000457763672), np.float64(-17.100000381469727), np.float64(-1446.1920166015625), np.float64(31.80000114440918), np.float64(145.95001220703125), np.float64(-1672.219970703125)]"
metal,rub,3,1742113822.10725,"[np.float64(123.30000305175781), np.float64(-35.55000305175781), np.float64(-1618.738037109375), np.float64(462.9000244140625), np.float64(-822.0000610351562), np.float64(-1537.9100341796875), np.float64(-816.9000244140625), np.float64(486.45001220703125), np.float64(-1564.0460205078125), np.float64(-71.25), np.float64(-19.950000762939453), np.float64(-1441.593994140625), np.float64(33.0), np.float64(150.45001220703125), np.float64(-1674.6400146484375)]"
metal,rub,3,1742113822.212468,"[np.float64(124.35000610351562), np.float64(-26.400001525878906), np.float64(-1611.2359619140625), np.float64(464.2500305175781), np.float64(-823.6500244140625), np.float64(-1536.699951171875), np.float64(-817.9500122070312), np.float64(495.0000305175781), np.float64(-1564.0460205078125), np.float64(-70.95000457763672), np.float64(-15.750000953674316), np.float64(-1448.3699951171875), np.float64(27.150001525878906), np.float64(147.75), np.float64(-1666.6539306640625)]"
metal,rub,3,1742113822.3151538,"[np.float64(123.00000762939453), np.float64(-29.700000762939453), np.float64(-1619.947998046875), np.float64(459.3000183105469), np.float64(-825.7500610351562), np.float64(-1536.4580078125), np.float64(-819.0000610351562), np.float64(483.9000244140625), np.float64(-1555.8179931640625), np.float64(-61.80000305175781), np.float64(-19.200000762939453), np.float64(-1450.06396484375), np.float64(29.55000114440918), np.float64(150.0), np.float64(-1674.6400146484375)]"
metal,rub,3,1742113822.417073,"[np.float64(121.35000610351562), np.float64(-35.25), np.float64(-1619.947998046875), np.float64(462.45001220703125), np.float64(-824.2500610351562), np.float64(-1541.2979736328125), np.float64(-815.8500366210938), np.float64(482.5500183105469), np.float64(-1560.9000244140625), np.float64(-67.6500015258789), np.float64(-18.0), np.float64(-1453.6939697265625), np.float64(25.05000114440918), np.float64(144.90000915527344), np.float64(-1681.9000244140625)]"
metal,rub,3,1742113822.5223129,"[np.float64(124.35000610351562), np.float64(-36.150001525878906), np.float64(-1616.5599365234375), np.float64(465.0000305175781), np.float64(-820.9500122070312), np.float64(-1526.7779541015625), np.float64(-811.3500366210938), np.float64(484.8000183105469), np.float64(-1552.6719970703125), np.float64(-65.4000015258789), np.float64(-15.000000953674316), np.float64(-1442.803955078125), np.float64(25.500001907348633), np.float64(147.60000610351562), np.float64(-1672.946044921875)]"
metal,rub,3,1742113822.6261241,"[np.float64(119.10000610351562), np.float64(-33.0), np.float64(-1616.802001953125), np.float64(464.2500305175781), np.float64(-819.7500610351562), np.float64(-1539.3619384765625), np.float64(-814.800048828125), np.float64(482.2500305175781), np.float64(-1570.095947265625), np.float64(-65.25), np.float64(-21.0), np.float64(-1448.6119384765625), np.float64(23.100000381469727), np.float64(151.8000030517578), np.float64(-1675.365966796875)]"
